uuid,class,order,family,genus,species,common_name,description
9daa3efc-5391-4d56-9ddd-559532807309,aves,piciformes,bucconidae,monasa,nigrifrons,black-fronted nunbird,"The black-fronted nunbird is a species of near-passerine bird in the family Bucconidae, the puffbirds, nunlets, and nunbirds. It is found in Bolivia, Brazil, Colombia, Ecuador, and Peru."
9dac868f-44bf-404b-8ce0-00747570da81,mammalia,rodentia,sciuridae,rhinosciurus,,rhinosciurus species,
9dc6ae04-c92b-492f-a74c-429b9af45624,aves,struthioniformes,tinamidae,crypturellus,,crypturellus species,
9dd163d5-ae08-47e9-a812-edfc5c7564b9,aves,columbiformes,columbidae,patagioenas,fasciata,northern band-tailed pigeon,
9deb9071-efa1-4f06-8097-21c008af9afc,mammalia,rodentia,caviidae,hydrochoerus,isthmius,lesser capybara,"The lesser capybara is a large semi-aquatic rodent found in South America that has vast similarities, yet subtle differences, with the common capybara, the largest species of rodent in the world."
9df8379f-ff25-43b3-b48e-d5ba3694c499,mammalia,primates,aotidae,aotus,,aotus species,
9e0b9966-155b-4f54-920c-6308ae5e481a,aves,charadriiformes,scolopacidae,actitis,,actitis species,
9e1bf8e0-7185-4c20-b537-3c0acf16d6d7,aves,columbiformes,columbidae,macropygia,unchall,barred cuckoo-dove,"The barred cuckoo-dove is a bird species in the family Columbidae. It is native to South and Southeast Asia, and listed as Least Concern on the IUCN Red List."
9e251a37-cef9-4bf9-b876-2ca1279dc613,mammalia,carnivora,viverridae,genetta,,genetta species,
9e4f67fd-a41f-409d-b678-f83e76edb738,mammalia,cetartiodactyla,cervidae,rangifer,,rangifer species,
9e8dc724-c819-4a76-bc9f-ba98b36894e2,mammalia,cetartiodactyla,bovidae,pelea,,pelea species,
9e90f0ba-0009-490b-b975-55829245a28e,mammalia,cetartiodactyla,cervidae,muntiacus,vaginalis,northern red muntjac,The Northern red muntjac is a species of muntjac. It is found in numerous countries of south-central and southeast Asia.
9e91158b-2f70-4f3f-8bbb-962d5b5fcf4d,mammalia,didelphimorphia,didelphidae,marmosops,,marmosops species,
9e912d33-4609-414d-8624-4e01912ba592,aves,procellariiformes,oceanitidae,,,oceanitidae family,
9ecfddd3-a5a8-443f-b12a-9a06f140ebbb,aves,cuculiformes,cuculidae,crotophaga,major,greater ani,The greater ani is a bird in the cuckoo family. It is sometimes referred to as the black cuckoo. It is found through tropical South America south to northern Argentina.
9f0db666-c22e-4292-b95e-77dd6913f9ae,aves,passeriformes,turdidae,turdus,rubrocanus,chestnut thrush,The chestnut thrush is a species of bird in the family Turdidae. It breeds in the western Himalayas and central/southwestern China; it winters in Eastern Himalaya and northern Southeast Asia. Its natural habitat is temperate forests.
9f152289-08b9-475d-83e3-346d9fbd0297,aves,galliformes,cracidae,penelope,superciliaris,rusty-margined guan,"The rusty-margined guan is a species of bird in the family Cracidae, which includes the chachalacas, guans, and curassows. It is found in Argentina, Bolivia, Brazil, and Paraguay."
9f22fe92-e570-4414-8e14-d26d56e76d77,mammalia,cetartiodactyla,tragulidae,tragulus,,chevrotain species,
9f332b69-49c6-43a1-aa71-c8888bc58d29,mammalia,rodentia,hystricidae,,,old world porcupine family,
9f43c96d-4b1d-4e2a-938f-8ff2761d5c6e,aves,passeriformes,turdidae,catharus,fuscescens,veery,"The veery is a small North American thrush species, a member of a group of closely related and similar species in the genus Catharus, also including the gray-cheeked thrush, Bicknell's thrush, Swainson's thrush, and hermit thrush. Alternate names for this species include Wilson's thrush and tawny thrush. Up to six subspecies exist, which are grouped into the eastern veery, the western veery or willow thrush, and the Newfoundland veery."
9f4668e1-ff34-4a8e-b693-49507215590d,aves,passeriformes,muscicapidae,saxicola,tectes,reunion stonechat,"The Réunion stonechat is a species of stonechat, endemic to the French Indian Ocean island of Réunion. It is found across the island in forests, shrublands and artificial environments such as gardens and plantations. This small passerine bird is common in clearings and open mountain bushlands there up to 2600 metres above sea level, including in the plains around Piton de la Fournaise."
9f59541f-c95f-4f3f-a0e8-7323f765952a,aves,passeriformes,mimidae,,,mimidae family,
9f852335-8d69-4ba0-8c88-92d29ecc4335,mammalia,rodentia,sciuridae,menetes,berdmorei,berdmore's squirrel,
9f8530d8-5f67-436f-a987-07799e04a39b,aves,gruiformes,rallidae,zapornia,,zapornia species,
9f87fb6d-be1d-43b4-a144-3d4750bdf6de,aves,passeriformes,cardinalidae,cardinalis,cardinalis,northern cardinal,"The northern cardinal, also commonly known as the common cardinal, red cardinal, or simply cardinal, is a bird in the genus Cardinalis. It can be found in southeastern Canada, through the eastern United States from Maine to Minnesota to Texas, New Mexico, southern Arizona, southern California and south through Mexico, Belize, and Guatemala. It is also an introduced species in a few locations such as Bermuda and all major islands of Hawaii since its introduction in 1929. Its habitat includes woodlands, gardens, shrublands, and wetlands. It is the state bird of Illinois, Indiana, Kentucky, North Carolina, Ohio, Virginia, and West Virginia."
9f97ef7d-beb4-4350-b6c3-2738872173ab,aves,passeriformes,passerellidae,pipilo,maculatus,spotted towhee,"The spotted towhee is a large New World sparrow. The taxonomy of the towhees has been debated in recent decades, and until 1995 this bird and the eastern towhee were considered a single species, then named rufous-sided towhee. Another outdated name for the spotted towhee is the Oregon towhee. The call may be harsher and more varied than for the eastern towhee."
9fb5a8a2-0dfd-49f2-80e9-6bc78048c532,aves,passeriformes,dicruridae,dicrurus,ludwigii,square-tailed drongo,"The square-tailed drongo, formerly the common square-tailed drongo, is a passerine bird in the family Dicruridae. It is a common resident breeder in parts of southern Africa."
9fb844bd-26d1-49f1-a829-0025a48d3bdb,insecta,,,,,insect,"Insects are hexapod invertebrates of the class Insecta. They are the largest group within the arthropod phylum. Insects have a chitinous exoskeleton, a three-part body, three pairs of jointed legs, compound eyes, and a pair of antennae. Insects are the most diverse group of animals, with more than a million described species; they represent more than half of all animal species."
9fccaf8b-3591-4fb0-9b02-410f2dda4b0a,aves,passeriformes,icteridae,curaeus,,curaeus species,
9fd2d544-74eb-4a9b-b8f5-268ed2bd0742,mammalia,cetartiodactyla,bovidae,kobus,,kobus species,
9fdd7ae5-2d84-44f5-9a5b-e9b095897b4f,mammalia,rodentia,aplodontiidae,aplodontia,rufa,mountain beaver,"The mountain beaver is a North American rodent. It is the only living member of its genus, Aplodontia, and family, Aplodontiidae. It should not be confused with true North American and Eurasian beavers, to which it is not closely related; the mountain beaver is instead more closely related to squirrels, although its less-efficient renal system was thought to indicate greater relative antiquity for the species. There are seven subspecies of mountain beaver, six of which are found in California and three of which are endemic to the state."
9fde39a2-366f-4d48-8f0a-43249aa208fc,aves,passeriformes,corvidae,cyanopica,,cyanopica species,
9fe151e9-c037-4fa5-8755-383c9363b787,aves,accipitriformes,accipitridae,pernis,,pernis species,
9ff4ba15-7780-46b5-af08-a3a312c5f409,aves,galliformes,phasianidae,syrmaticus,reevesii,reeves's pheasant,"Reeves's pheasant is a large pheasant within the genus Syrmaticus. It is endemic to China. It is named after the British naturalist John Reeves, who first introduced live specimens to Europe in 1831."
a0068633-29ad-4da4-bd09-896499053f38,mammalia,cetartiodactyla,bovidae,oreotragus,,oreotragus species,
a034f451-e905-4695-b6af-1963aa4a0541,aves,passeriformes,thamnophilidae,pyriglena,leuconota,white-backed fire-eye,"The white-backed fire-eye has been split into 3 species:East Amazonian fire-eye, Pyriglena leuconota
Tapajos fire-eye, Pyriglena similis
Western fire-eye, Pyriglena maura
"
a0356b8d-b0c9-4b19-9a7e-56295f001b8f,aves,piciformes,picidae,colaptes,campestris,campo flicker,"The campo flicker is a species of bird in subfamily Picinae of the woodpecker family Picidae. It is found in Argentina, Bolivia, Brazil, Paraguay, Suriname, and Uruguay."
a03d4cb1-8ada-4629-9dc8-9a773230266f,aves,charadriiformes,scolopacidae,tringa,solitaria,solitary sandpiper,"The solitary sandpiper is a small shorebird. The genus name Tringa is the Neo-Latin name given to the green sandpiper by Aldrovandus in 1599 based on Ancient Greek trungas, a thrush-sized, white-rumped, tail-bobbing wading bird mentioned by Aristotle. The specific solitaria is Latin for ""solitary"" from solus, ""alone""."
a04b4da7-9662-4150-a807-c379d08fc7e7,aves,piciformes,bucconidae,,,bucconidae family,
a04c522f-8ca1-4c09-85b5-a0f29b8466a8,mammalia,cetartiodactyla,cervidae,muntiacus,,muntjac species,
a0841346-8260-4450-96b8-1e4ded395805,aves,passeriformes,formicariidae,formicarius,analis,black-faced antthrush,"The black-faced antthrush is a species of passerine bird in the family Formicariidae. It is found in Central America from Honduras through Panama, on Trinidad, and in every mainland South American country except Argentina, Chile, Paraguay, and Uruguay."
a0851922-3f16-4fde-a72a-063cada1c401,aves,passeriformes,turdidae,turdus,chiguanco,chiguanco thrush,The Chiguanco thrush is a species of bird in the family Turdidae. It is found from Ecuador and the Altiplano south to Argentina. Its natural habitats are subtropical or tropical high-altitude shrubland and heavily degraded former forest.
a091f537-d009-4875-9927-c1eccf490cbb,aves,sphenisciformes,spheniscidae,eudyptula,,eudyptula species,
a0a826b3-9990-4b22-8bda-cedad69da49b,aves,passeriformes,thamnophilidae,dichrozona,cincta,banded antbird,"The banded antbird – sometimes called banded antwren despite not being close to the true antwrens – is a species of bird in subfamily Thamnophilinae of family Thamnophilidae, the ""typical antbirds"". It is found in Bolivia, Brazil, Colombia, Ecuador, Peru, and Venezuela."
a0aa1b81-3a14-4028-ab3f-f36d9486f0e7,aves,columbiformes,columbidae,geotrygon,saphirina,sapphire quail-dove,"The sapphire quail-dove is a species of bird in the family Columbidae. It is found in Brazil, Colombia, Ecuador, and Peru."
a0c46acc-fd6a-45b2-9f11-b701129b2633,mammalia,cetartiodactyla,suidae,sus,,sus species,
a0cbbf4b-946f-4982-b332-28c323510523,aves,passeriformes,leiotrichidae,garrulax,pectoralis,greater necklaced laughingthrush,"The greater necklaced laughingthrush is a species of passerine bird in the family Leiothrichidae. It is found in Bangladesh, Bhutan, China, India, Laos, Myanmar, Nepal, Thailand and Vietnam. It is introduced to the United States. Its natural habitats are subtropical or tropical moist lowland forest and subtropical or tropical moist montane forest."
a0d09a27-59c6-4a31-8b67-e0a6ec8c49f9,mammalia,carnivora,canidae,cerdocyon,thous,crab-eating fox,"The crab-eating fox, also known as the forest dog, wood fox, bushfox or maikong, is an extant species of medium-sized canid endemic to the central part of South America since at least the Pleistocene epoch. Like South American foxes, which are in the genus Lycalopex, it is not closely related to true foxes. Cerdocyon comes from the Greek words kerdo and kyon (dog) referring to the dog- and fox-like characteristics of this animal."
a0dc30c3-acf6-4d21-a8f8-3edaffd1de3b,mammalia,cetartiodactyla,cervidae,muntiacus,truongsonensis,annamite muntjac,"The Truong Son muntjac or Annamite muntjac is a species of muntjac deer. It is one of the smallest muntjac species, at about 15 kg (33 lb), half the size of the Indian muntjac. It was discovered in the Truong Son (Annamite) mountain range in Vietnam in 1997."
a0fd2bb4-0287-46ea-b1f7-d5912ae7c712,mammalia,rodentia,dasyproctidae,dasyprocta,iacki,iack's red-rumped agouti,
a10b7bb9-a388-4988-a4e7-0b109889cf67,mammalia,cetartiodactyla,moschidae,moschus,berezovskii,forest musk deer,"Musk deer can refer to any one, or all eight, of the species that make up Moschus, the only extant genus of the family Moschidae. Despite being commonly called deer, they are not true deer belonging to the family Cervidae, but rather their family is closely related to Bovidae, the group that contains antelopes, bovines, sheep, and goats. The musk deer family differs from cervids, or true deer, by lacking antlers and preorbital glands also, possessing only a single pair of teats, a gallbladder, a caudal gland, a pair of canine tusks and—of particular economic importance to humans—a musk gland."
